city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
abidjan--ivory-coast,2026-07-27,144665,144665,0.817,0.844,0.867,0.884,0.897,8.3047,0.1797,471,0,0,0.847,0.8675,0.879,144665,51,0.0353,0.785,0.867,3,468,0.805,0.8678,50,1,0.785,0.867,2,469,0.79,0.8675,0.0346
addis-ababa--addis-ababa--ethiopia,2026-08-12,6306,6306,0.3565,0.859,0.894,0.914,0.926,42.4358,13.2255,26,0,0,0.8201,0.87,0.8988,6306,1126,17.856,0.8045,0.9,11,15,0.83,0.898,1136,2,0.9,0.893,6,20,0.5185,0.8767,18.0146
anchorage--alaska--united-states,2026-07-24,27466,27466,0.803,0.827,0.848,0.867,0.884,3.2913,0.0947,1054,0,0,0.821,0.841,0.8555,27466,0,0.0,,0.848,0,1054,,0.841,0,0,,0.848,0,1054,,0.841,0.0
arlington--virginia--united-states,2026-07-31,319359,319359,0.617,0.739,0.805,0.851,0.88,3.5271,9.3932,2203,0,0,0.756,0.815,0.854,319359,42274,13.2371,0.804,0.805,503,1700,0.82,0.8147,265400,5,0.804,0.813,1670,533,0.812,0.822,83.104
bath--england--united-kingdom,2026-07-27,3728,3728,0.083,0.68,0.743,0.817,0.856,1.3144,17.7575,22,0,0,0.6985,0.7677,0.8175,3728,292,7.8326,0.8185,0.729,1,21,0.8185,0.7645,0,0,,0.743,0,22,,0.7677,0.0
belgrade--city-of-belgrade--serbia,2026-07-24,239338,239338,0.773,0.807,0.841,0.876,0.902,11.0989,0.4416,630,0,0,0.814,0.842,0.864,239338,42,0.0175,0.74,0.841,15,615,0.734,0.844,91021,3,0.856,0.836,73,557,0.8465,0.841,38.0303
berlin--state-of-berlin--germany,2026-08-17,1471440,1471440,0.698,0.759,0.817,0.863,0.892,7.0055,2.2013,6564,0,0,0.789,0.833,0.864,1471440,18439,1.2531,0.754,0.818,135,6429,0.803,0.834,51767,6,0.795,0.818,296,6268,0.796,0.835,3.5181
bogota--colombia,2026-08-17,2683896,2683896,0.809,0.84,0.868,0.891,0.909,16.6821,0.2268,6641,0,0,0.851,0.869,0.884,2683896,12538,0.4672,0.842,0.868,217,6424,0.8505,0.869,20302,3,0.877,0.868,26,6615,0.8768,0.869,0.7564
boone-county--kentucky--united-states,2026-08-01,2028,2028,0.819,0.839,0.854,0.868,0.878,0.2465,0.0,2,0,0,0.8515,0.854,0.8565,2028,0,0.0,,0.854,0,2,,0.854,2028,1,0.854,,2,0,0.854,,100.0
braga--braga--portugal,2026-07-24,102459,102459,0.722,0.775,0.822,0.854,0.875,1.6543,0.1132,122,0,0,0.7903,0.8312,0.85,102459,3627,3.54,0.839,0.821,15,107,0.851,0.831,100629,1,0.821,0.84,121,1,0.831,0.84,98.2139
budapest--budapest--hungary,2026-08-17,871831,871831,0.687,0.751,0.808,0.855,0.889,6.3616,3.3827,3811,0,0,0.768,0.812,0.854,871831,35682,4.0928,0.718,0.811,227,3584,0.725,0.815,267337,4,0.858,0.785,1001,2810,0.868,0.792,30.6639
